Table 1
Number,Pokemon,Type I,Type II,BST,
781,Dhelmise,Ghost,Grass,517,
782,Jangmo-o,Dragon,None,300,
783,Hakamo-o,Dragon,Fighting,420,
784,Kommo-o,Dragon,Fighting,600,
785,Tapu Koko,Electric,Fairy,570,
786,Tapu Lele,Psychic,Fairy,570,
787,Tapu Bulu,Grass,Fairy,570,
788,Tapu Fini,Water,Fairy,570,
789,Cosmog,Psychic,None,200,
790,Cosmoem,Psychic,None,400,
791,Solgaleo,Psychic,Steel,680,
792,Lunala,Psychic,Ghost,680,
793,Nihilego,Rock,Poison,570,
794,Buzzwole,Bug,Fighting,570,
795,Pheromosa,Bug,Fighting,570,
796,Xurkitree,Electric,None,570,
797,Celesteela,Steel,Flying,570,
798,Kartana,Grass,Steel,570,
799,Guzzlord,Dark,Dragon,570,
800,Necrozma,Psychic,None,600,
801,Magearna,Steel,Fairy,600,
802,Marshadow,Fighting,Ghost,600,
803,Poipole,Poison,None,420,
804,Naganadel,Poison,Dragon,540,
805,Stakataka,Rock,Steel,570,
806,Blacephalon,Fire,Ghost,570,
807,Zeraora,Electric,None,600,
808,Meltan,Steel,None,300,
809,Melmetal,Steel,None,600,
810,Grookey,Grass,None,310,
811,Thwackey,Grass,None,420,
812,Rillaboom,Grass,None,530,
813,Scorbunny,Fire,None,310,
814,Raboot,Fire,None,420,
815,Cinderace,Fire,None,530,
816,Sobble,Water,None,310,
817,Drizzile,Water,None,420,
818,Inteleon,Water,None,530,
819,Skwovet,Normal,None,275,
820,Greedent,Normal,None,460,
821,Rookidee,Flying,None,245,
822,Corvisquire,Flying,None,365,
823,Corviknight,Flying,Steel,495,
824,Blipbug,Bug,None,180,
825,Dottler,Bug,Psychic,335,
826,Orbeetle,Bug,Psychic,505,
827,Nickit,Dark,None,245,
828,Thievul,Dark,None,455,
829,Gossifluer,Grass,None,250,
830,Eldegoss,Grass,None,460,
831,Wooloo,Normal,None,270,
832,Dubwool,Normal,None,490,
833,Chewtle,Water,None,284,
834,Drednaw,Water,Rock,485,
835,Yamper,Electric,None,270,
836,Boltund,Electric,None,490,
837,Rolycoly,Rock,None,240,
838,Carkol,Rock,Fire,410,
839,Coalossal,Rock,Fire,510,
840,Applin,Grass,Dragon,260,
841,Flapple,Grass,Dragon,485,
842,Appletun,Grass,Dragon,485,
843,Silicobra,Ground,None,315,
844,Sandaconda,Ground,None,510,
845,Cramorant,Flying,Water,475,
846,Arrokuda,Water,None,280,
847,Barraskweda,Water,None,490,
848,Toxel,Electric,Poison,242,
849,Toxtricity,Electric,Poison,502,
850,Sizzlipede,Fire,Bug,305,
851,Centiskorch,Fire,Bug,525,
852,Clobbopus,Fighting,None,310,
853,Grapploct,Fighting,None,480,
854,Sinistea,Ghost,None,308,
855,Polteageist,Ghost,None,508,
856,Hatenna,Psychic,None,265,
857,Hattrem,Psychic,None,370,
858,Hatterene,Psychic,Fairy,510,
859,Impidimp,Dark,Fairy,265,
860,Morgrem,Dark,Fairy,370,
861,Grimmsnarl,Dark,Fairy,510,
862,Obstagoon,Dark,Normal,520,
863,Perrserker,Steel,None,440,
864,Cursola,Ghost,None,510,
865,Sirfetch'd,Fighting,None,507,
866,Mr.Rime,Ice,Psychic,520,
867,Runerigus,Ground,Ghost,483,
868,Milcery ,Fairy,None,270,
869,Alcremie,Fairy,None,495,
870,Falinks,Fighting,None,470,
871,Pincurchin,Electric,None,435,
872,Snom,Ice,Bug,185,
873,Frosmoth,Ice,Bug,475,
874,Stonjourner,Rock,None,470,
875,Eiscue,Ice,None,470,
876,Indeedee,Psychic,Normal,475,
877,Morpeko,Electric,Dark,436,
878,Cufant,Steel,None,330,
879,Copperajah,Steel,None,500,
880,Dracozolt,Electric,Dragon,505,
881,Arctozolt,Electric,Ice,505,
882,Dracovish,Water,Dragon,505,
883,Arctovish,Water,Ice,505,
884,Duraludon,Steel,Dragon,535,
885,Dreepy,Dragon,Ghost,270,
886,Drakloak,Dragon,Ghost,410,
887,Dragapult,Dragon,Ghost,600,
888,Zacian,Fairy,None,660,
889,Zamazenta,Fighting,None,660,
890,Eternatus,Poison,Dragon,690,
891,Kubfu,Fighting,None,385,
892,Urshifu,Fighting,Dark,550,
893,Zarude,Dark,Grass,600,
894,Regieleki,Electric,None,580,
895,Regidrago,Dragon,None,580,
896,Glastrier,Ice,None,580,
897,Spectrier,Ghost,None,580,
898,Calyrex,Psychic,Grass,500,
899,Wyrdeer,Normal,Psychic,525,
900,Kleavor,Bug,Rock,500,
901,Ursaluna,Ground,Normal,550,
902,Basculegion,Water,Ghost,530,
903,Sneasler,Fighting,Poison,510,
904,Overqwil,Dark,Poison,510,
905,Enamorus,Fairy,Flying,580,
